Tag	Name
ELISA.HE	Elisa
FORTUM.HE	Fortum
FSKRS.HE	Fiskars
KEMIRA.HE	Kemira
KESKOB.HE	Kesko
KNEBV.HE	Kone
NDA_FI.HE	
NESTE.HE	Neste
NOKIA.HE	Nokia
TYRES.HE	Nokian Renkaat
ORNBV.HE	Orion
SAMPO.HE	Sampo
STERV.HE	Stora-Enso
UPM.HE	UPM
WRT1V.HE	WÃ¤rtsilÃ¤
OLVAS.HE	Olvi
PON1V.HE	Ponsse
ATG1V.HE	Asiakastieto
BAS1V.HE	Basware
VAIAS.HE	Vaisala
CRA1V.HE	Cramo
REG1V.HE	Revenio
VIK1V.HE	Viking Line
TIK1V.HE	Tikkurila
LAT1V.HE	Lassila & Tikanoja
ALBBV.HE	Ålandsbanken
POY1V.HE	Pöyry
PIHLIS.HE	Pihlajalinna
AKTIA.HE	Aktia
ASPO.HE	Aspo
HUH1V.HE	Huhtamäki
CGCBV.HE	Cargotec
TIETO.HE	TietoEVRY
KCR.HE	Konecranes
VALMT.HE	Valmet
KOJAMO.HE	Kojamo
AM1.HE	Ahlstrom-Munksjö
UPONOR.HE	Uponor
TTALO.HE	Terveystalo
TOKMAN.HE	Tokmanni 
EVLI.HE	Evli
SAA1V.HE	Sanoma
CTY1S.HE	Citycon
METSB.HE	MetsÃ¤ Board
YIT.HE	YIT
FIA1S.HE	Finnair
TELIA1.HE	Telia Company
SSABBH.HE	SSAB B
OUT1V.HE	Outokumpu
